post_id,post_datetime,post_type,author_type,author_follower_bucket,post_text,topic,content_format,hashtags,mentions_commbank,sentiment_label,sentiment_score,likes,replies,reposts,quote_posts,views,link_clicks,total_engagements,engagement_rate,day_of_week,customer_intent,response_needed,api_field_examples,model_sentiment_score,model_sentiment_label,labels_match,post_date
SM011,2026-04-20 08:12:00,Reply,Customer,0-500,Thanks for giving the timing clearly. Much better than finding out during checkout.,Outage/service issue,Text,,Yes,Positive,0.5,14,1,2,0,840,0,17,0.02023809523809524,Monday,Praise,No,"text, referenced_tweets",0.35,Positive,True,2026-04-20
SM012,2026-04-21 18:05:00,Mention,Customer,0-500,My transfer has been pending for hours and I can't find a clear status page. Is there an outage?,Outage/service issue,Text,,Yes,Negative,-0.76,33,22,4,2,5200,0,61,0.01173076923076923,Tuesday,Question,Yes,"text, entities.mentions, created_at",0.09999999999999999,Neutral,False,2026-04-21
SM013,2026-04-22 10:00:00,Original post,CommBank,50k+,"Three signs a message may be a scam: urgency, unusual links and requests for codes. Pause before you respond.",Security education,Text + video,#CyberSafety #ScamAwareness,No,Positive,0.46,1100,72,405,31,156000,7400,9008,0.05774358974358974,Wednesday,Educational content,No,"text, attachments.media_keys, entities.hashtags",0.2,Positive,True,2026-04-22
SM014,2026-04-22 10:23:00,Quote post,Scam awareness org,5k-50k,Good practical reminder from @CommBank. The 'urgent action required' wording is still one of the biggest red flags.,Security education,Text,#ScamAwareness,Yes,Positive,0.67,96,6,31,4,6700,0,137,0.02044776119402985,Wednesday,Educational content,No,"text, referenced_tweets, entities.mentions",0.26666666666666666,Positive,True,2026-04-22
SM015,2026-04-23 14:30:00,Original post,CommBank,50k+,We are supporting local community groups with grants focused on financial confidence and digital skills.,Community,Text + image,#Community #FinancialConfidence,No,Positive,0.63,730,51,144,11,102000,2900,3836,0.037607843137254904,Thursday,Campaign,No,"text, entities.hashtags, public_metrics",0.0625,Neutral,False,2026-04-23
SM016,2026-04-23 15:07:00,Reply,Community org,501-5k,Proud to be part of this program. The digital skills sessions have already helped our clients feel safer online.,Community,Text,,Yes,Positive,0.86,64,3,13,1,4200,0,81,0.019285714285714285,Thursday,Praise,No,"text, author_id, public_metrics",0.4,Positive,True,2026-04-23
SM017,2026-04-24 08:20:00,Mention,Customer,0-500,Branch wait times are rough lately. I just need a replacement card and couldn't get through on chat.,Branch/ATM,Text,,Yes,Negative,-0.7,28,12,3,1,3100,0,44,0.014193548387096775,Friday,Complaint,Yes,"text, entities.mentions",-0.2,Negative,True,2026-04-24
SM018,2026-04-25 16:10:00,Original post,CommBank,50k+,Travel tip: tell us before you go overseas and check card controls in the app before your first purchase.,Card services,Link,#TravelMoney,No,Neutral,0.24,260,34,49,7,74400,1650,2000,0.026881720430107527,Saturday,Educational content,No,"text, entities.urls, public_metrics",0.25,Positive,False,2026-04-25
SM019,2026-04-25 17:22:00,Reply,Customer,0-500,Can I still use Apple Pay if my physical card is blocked while travelling?,Card services,Text,,Yes,Neutral,0.05,9,4,1,0,1050,0,14,0.013333333333333334,Saturday,Question,Yes,"text, referenced_tweets",0.0,Neutral,True,2026-04-25
SM020,2026-04-26 09:00:00,Original post,CommBank,50k+,Small business owners: join our free webinar on cash flow planning and preparing for quieter trading periods.,Business banking,Link,#SmallBusiness #CashFlow,No,Positive,0.48,188,17,66,3,54300,2300,2574,0.04740331491712707,Sunday,Campaign,No,"text, entities.urls, public_metrics",0.07500000000000001,Neutral,False,2026-04-26
SM021,2026-04-27 07:55:00,Mention,Business customer,501-5k,Would love more examples for seasonal businesses in the cash flow webinar. Retail is not the same as consulting.,Business banking,Text,#SmallBusiness,Yes,Mixed,0.12,22,5,4,0,1700,0,31,0.018235294117647058,Monday,Feature feedback,No,"text, entities.hashtags, entities.mentions",0.3333333333333333,Positive,False,2026-04-27
SM022,2026-04-28 12:15:00,Original post,CommBank,50k+,We have added clearer transaction labels in the app to help you recognise subscriptions and recurring payments.,Digital banking,Text + image,#CommBankApp,No,Positive,0.55,980,104,218,26,142500,6100,7428,0.05212631578947369,Tuesday,Product update,No,"text, public_metrics, attachments.media_keys",0.0,Neutral,False,2026-04-28
SM023,2026-04-28 12:47:00,Reply,Customer,0-500,Finally! I have been trying to work out what one of my monthly charges was for ages.,Digital banking,Text,,Yes,Positive,0.64,31,2,3,0,1800,0,36,0.02,Tuesday,Praise,No,"text, referenced_tweets",0.0,Neutral,False,2026-04-28
SM024,2026-04-28 13:05:00,Reply,Customer,0-500,Please add a way to rename merchants manually too. Some labels are still confusing.,Digital banking,Text,,Yes,Mixed,0.08,44,7,5,1,2600,0,57,0.021923076923076924,Tuesday,Feature feedback,No,"text, referenced_tweets, public_metrics",-0.3,Negative,False,2026-04-28
SM025,2026-04-29 19:30:00,Mention,Customer,0-500,ATM near my station has been out of service twice this week. Any update?,Branch/ATM,Text,,Yes,Negative,-0.58,12,8,1,0,1400,0,21,0.015,Wednesday,Question,Yes,"text, entities.mentions, created_at",0.1,Neutral,False,2026-04-29
SM026,2026-05-01 09:05:00,Original post,CommBank,50k+,Start the month by checking subscriptions you no longer use. Small recurring payments can add up quickly.,Financial wellbeing,Text + image,#MoneyTips,No,Positive,0.51,760,38,160,13,100400,4800,5771,0.0574800796812749,Friday,Educational content,No,"text, created_at, public_metrics",0.04166666666666666,Neutral,False,2026-05-01
SM027,2026-05-02 10:12:00,Mention,Customer,501-5k,"The new transaction labels are helpful, but my rent payment is now showing as entertainment, which is... optimistic.",Digital banking,Text,,Yes,Mixed,-0.05,105,11,14,2,9800,0,132,0.013469387755102041,Saturday,Feature feedback,No,"text, entities.mentions",0.13636363636363635,Neutral,False,2026-05-02
SM028,2026-05-03 13:20:00,Original post,CommBank,50k+,"If you are buying online, use secure payment options and be cautious of sellers asking to move the conversation off-platform.",Fraud & scams,Text + video,#OnlineSafety #ScamAwareness,No,Neutral,0.2,520,44,205,15,132000,6900,7684,0.058212121212121215,Sunday,Educational content,No,"text, attachments.media_keys, entities.hashtags",0.4,Positive,False,2026-05-03
SM029,2026-05-03 14:08:00,Reply,Customer,0-500,This happened to me on a marketplace sale. A checklist would be really helpful.,Fraud & scams,Text,,Yes,Mixed,-0.1,21,3,2,0,1150,0,26,0.022608695652173914,Sunday,Feature feedback,No,"text, referenced_tweets",0.2,Positive,False,2026-05-03
SM030,2026-05-04 08:45:00,Mention,Customer,0-500,Locked out of NetBank after changing phones. The recovery steps are not clear.,Digital banking,Text,,Yes,Negative,-0.69,39,15,4,1,4300,0,59,0.01372093023255814,Monday,Complaint,Yes,"text, entities.mentions",-0.049999999999999996,Neutral,False,2026-05-04
SM031,2026-05-05 11:00:00,Original post,CommBank,50k+,Today we are sharing practical tips for protecting older family members from impersonation scams.,Fraud & scams,Link,#ScamAwareness #FamilySafety,No,Positive,0.42,900,82,360,33,170000,8900,10275,0.060441176470588234,Tuesday,Educational content,No,"text, entities.urls, public_metrics",0.16666666666666666,Positive,True,2026-05-05
SM032,2026-05-05 12:02:00,Quote post,News/media,50k+,Useful consumer safety advice from @CommBank as impersonation scams continue to target older Australians.,Fraud & scams,Text,#ScamAwareness,Yes,Positive,0.45,230,18,71,9,31000,0,328,0.010580645161290323,Tuesday,News/update,No,"text, referenced_tweets, public_metrics",0.23333333333333334,Positive,True,2026-05-05
SM033,2026-05-06 16:35:00,Original post,CommBank,50k+,We are trialling new in-app prompts that ask customers to pause before sending money to a first-time payee.,Security education,Text + image,#CyberSafety,No,Positive,0.4,480,93,156,24,124000,4100,4853,0.039137096774193546,Wednesday,Product update,No,"text, public_metrics, attachments.media_keys",0.13636363636363635,Neutral,False,2026-05-06
SM034,2026-05-06 17:11:00,Reply,Customer,0-500,"Good idea, but please make sure it does not slow down urgent transfers to family.",Security education,Text,,Yes,Mixed,0.04,34,6,2,0,2100,0,42,0.02,Wednesday,Feature feedback,No,"text, referenced_tweets",0.29861111111111116,Positive,False,2026-05-06
SM035,2026-05-07 07:30:00,Mention,Customer,0-500,Is PayID down? Two people have tried to pay me and both transfers are stuck.,Outage/service issue,Text,#PayID,Yes,Negative,-0.74,52,21,8,3,7700,0,84,0.01090909090909091,Thursday,Question,Yes,"text, entities.hashtags, entities.mentions",-0.15555555555555556,Negative,True,2026-05-07
SM036,2026-05-07 08:02:00,Reply,CommBank,50k+,We are aware some customers are seeing delays with PayID transfers and our teams are investigating. We will share updates as soon as possible.,Outage/service issue,Text,#ServiceUpdate,Yes,Neutral,0.0,141,47,39,12,21900,0,239,0.01091324200913242,Thursday,Customer support,No,"text, conversation_id, public_metrics",0.125,Neutral,True,2026-05-07
SM037,2026-05-09 10:25:00,Original post,CommBank,50k+,Know the difference between available balance and current balance before making a large purchase.,Financial wellbeing,Text + image,#MoneyTips #BankingBasics,No,Neutral,0.25,390,29,85,4,90300,2500,3008,0.033311184939091916,Saturday,Educational content,No,"text, entities.hashtags, public_metrics",0.20476190476190478,Positive,False,2026-05-09
SM038,2026-05-10 18:50:00,Mention,Customer,0-500,"Just used the spend tracker for the first time and it was a wake-up call, in a good way.",Financial wellbeing,Text,,Yes,Positive,0.79,47,2,5,0,2500,0,54,0.0216,Sunday,Praise,No,"text, entities.mentions",0.475,Positive,True,2026-05-10
SM039,2026-05-12 09:15:00,Original post,CommBank,50k+,"Card controls can help if your card is misplaced. Temporarily lock, unlock or replace your card in the app.",Card services,Text + video,#CommBankApp,No,Positive,0.38,670,58,142,16,111000,5300,6186,0.05572972972972973,Tuesday,Educational content,No,"text, attachments.media_keys, public_metrics",-0.2,Negative,False,2026-05-12
SM040,2026-05-12 09:50:00,Reply,Customer,501-5k,This saved me last month. Found the card under my car seat after locking it in the app.,Card services,Text,,Yes,Positive,0.83,89,5,9,0,6000,0,103,0.017166666666666667,Tuesday,Praise,No,"text, referenced_tweets",0.0,Neutral,False,2026-05-12
SM041,2026-05-14 14:05:00,Original post,CommBank,50k+,We are investing in energy efficiency upgrades across selected branches to reduce operational emissions.,Sustainability,Text + image,#Sustainability,No,Positive,0.32,310,112,74,18,98000,1200,1714,0.017489795918367346,Thursday,News/update,No,"text, entities.hashtags, public_metrics",0.0,Neutral,False,2026-05-14
SM042,2026-05-14 15:02:00,Reply,Customer,0-500,"Good, but customers also want greener lending options and clearer reporting.",Sustainability,Text,,Yes,Mixed,0.02,58,8,6,1,3400,0,73,0.021470588235294116,Thursday,Feature feedback,No,"text, referenced_tweets",0.7,Positive,False,2026-05-14
SM043,2026-05-16 11:40:00,Mention,Customer,0-500,The ATM locator sent me to a branch that has moved. Please update the map.,Branch/ATM,Text,,Yes,Negative,-0.62,17,6,2,0,1250,0,25,0.02,Saturday,Complaint,Yes,"text, entities.mentions",0.0,Neutral,False,2026-05-16
SM044,2026-05-18 08:55:00,Original post,CommBank,50k+,"Before tax time, check that your bank statements and interest summaries are easy to access in NetBank.",Digital banking,Link,#TaxTime #NetBank,No,Neutral,0.18,240,26,58,6,88000,2100,2430,0.027613636363636365,Monday,Educational content,No,"text, entities.urls, public_metrics",0.43333333333333335,Positive,False,2026-05-18
SM045,2026-05-19 19:10:00,Mention,Customer,0-500,Trying to download statements and the page keeps refreshing. Anyone else?,Digital banking,Text,#NetBank,Yes,Negative,-0.57,36,13,5,1,4600,0,55,0.011956521739130435,Tuesday,Question,Yes,"text, entities.hashtags, entities.mentions",0.5,Positive,False,2026-05-19
SM046,2026-05-21 13:00:00,Original post,CommBank,50k+,"Thinking about your first credit card? Compare fees, interest rates and repayment habits before applying.",Financial wellbeing,Link,#BankingBasics #MoneyTips,No,Neutral,0.2,280,37,69,9,79000,3400,3795,0.0480379746835443,Thursday,Educational content,No,"text, entities.urls, public_metrics",0.25,Positive,False,2026-05-21
SM047,2026-05-22 10:30:00,Reply,Customer,0-500,Can you make an explainer for students who are new to credit? The language is still intimidating.,Financial wellbeing,Text,,Yes,Neutral,0.11,23,3,3,0,1600,0,29,0.018125,Friday,Feature feedback,No,"text, referenced_tweets",0.13636363636363635,Neutral,True,2026-05-22
SM048,2026-05-24 16:22:00,Original post,CommBank,50k+,"Reminder: genuine bank staff will not ask you to transfer money to a 'safe account'. Stop, check and report suspicious requests.",Fraud & scams,Text + image,#ScamAwareness #StopCheckReport,No,Neutral,0.16,1280,118,520,47,210000,10200,12165,0.057928571428571426,Sunday,Educational content,No,"text, entities.hashtags, public_metrics",0.45,Positive,False,2026-05-24
SM049,2026-05-24 17:05:00,Mention,Customer,0-500,A caller used the safe account line on my mum today. She hung up because she'd seen your post.,Fraud & scams,Text,,Yes,Positive,0.66,76,4,13,0,5200,0,93,0.017884615384615384,Sunday,Praise,No,"text, entities.mentions",0.5,Positive,True,2026-05-24
SM050,2026-05-27 09:40:00,Original post,CommBank,50k+,We are updating the app home screen to make upcoming bills and scheduled payments easier to find.,Digital banking,Text + image,#CommBankApp,No,Positive,0.44,720,156,132,35,149000,4800,5843,0.039214765100671144,Wednesday,Product update,No,"text, public_metrics, attachments.media_keys",0.0,Neutral,False,2026-05-27
SM051,2026-05-27 10:05:00,Reply,Customer,0-500,Please do not move everything again. The last redesign made regular transfers harder to find.,Digital banking,Text,,Yes,Negative,-0.49,67,12,5,2,3900,0,86,0.02205128205128205,Wednesday,Feature feedback,No,"text, referenced_tweets",-0.03333333333333333,Neutral,False,2026-05-27
SM052,2026-05-28 13:15:00,Mention,Customer,501-5k,Credit where due: the fraud team called quickly after I reported a suspicious transfer.,Fraud & scams,Text,,Yes,Positive,0.76,112,6,18,1,7600,0,137,0.018026315789473685,Thursday,Praise,No,"text, entities.mentions, public_metrics",0.10416666666666666,Neutral,False,2026-05-28
SM053,2026-06-01 08:30:00,Original post,CommBank,50k+,Winter energy bills can be unpredictable. Build a small buffer where possible and review direct debits before they are due.,Financial wellbeing,Text + image,#MoneyTips #Budgeting,No,Neutral,0.21,340,31,76,8,93000,3600,4055,0.04360215053763441,Monday,Educational content,No,"text, created_at, public_metrics",-0.08833333333333333,Neutral,True,2026-06-01
SM054,2026-06-02 18:20:00,Mention,Customer,0-500,Can the app notify me before a direct debit if my balance is low? That would prevent a lot of stress.,Digital banking,Text,,Yes,Mixed,0.15,84,10,11,1,5900,0,106,0.017966101694915255,Tuesday,Feature feedback,No,"text, entities.mentions",0.05,Neutral,False,2026-06-02
SM055,2026-06-05 12:00:00,Original post,CommBank,50k+,We are celebrating teams volunteering with local partners to improve financial confidence in regional communities.,Community,Text + video,#Community #Volunteering,No,Positive,0.69,860,44,188,14,125000,3100,4206,0.033648,Friday,Campaign,No,"text, attachments.media_keys, entities.hashtags",0.0,Neutral,False,2026-06-05
SM056,2026-06-06 15:35:00,Quote post,Community org,501-5k,Thank you @CommBank for supporting practical financial education in our region.,Community,Text + image,#Community,Yes,Positive,0.88,122,4,28,2,6900,0,156,0.022608695652173914,Saturday,Praise,No,"text, referenced_tweets, entities.mentions",0.125,Neutral,False,2026-06-06
SM057,2026-06-09 09:25:00,Original post,CommBank,50k+,"If a payment request arrives unexpectedly, call the person on a trusted number before sending money.",Security education,Text + image,#CyberSafety #StopCheckReport,No,Neutral,0.19,740,63,295,22,151000,7200,8320,0.05509933774834437,Tuesday,Educational content,No,"text, entities.hashtags, public_metrics",0.1,Neutral,True,2026-06-09
SM058,2026-06-10 20:12:00,Mention,Customer,0-500,Why is there no clear scam reporting button in the app? I had to search around for it.,Fraud & scams,Text,,Yes,Negative,-0.64,45,12,4,1,4100,0,62,0.015121951219512195,Wednesday,Complaint,Yes,"text, entities.mentions",-0.049999999999999996,Neutral,False,2026-06-10
SM059,2026-06-12 11:10:00,Original post,CommBank,50k+,Our app update includes accessibility improvements for screen readers and clearer error messages.,Digital banking,Text + image,#CommBankApp #Accessibility,No,Positive,0.61,690,73,148,20,121000,3900,4831,0.03992561983471074,Friday,Product update,No,"text, entities.hashtags, public_metrics",0.0,Neutral,False,2026-06-12
SM060,2026-06-12 12:06:00,Reply,Customer,0-500,The clearer error messages help. Please make the font size easier to adjust too.,Digital banking,Text,,Yes,Mixed,0.25,38,5,3,0,2400,0,46,0.019166666666666665,Friday,Feature feedback,No,"text, referenced_tweets",0.0,Neutral,False,2026-06-12
